"stock","date","buy_date_closing_price","buy_date_value","current_price","current_value","name","shares","performance","sell_date"
"CB","2024-08-19","274.0299987792969","2192.239990234375","284.18","2273.44","CB","8","3.7039744794065133","2024-09-02"
"INCY","2024-07-08","58.16999816894531","872.5499725341797","64.31","964.6500000000001","INCY","15","10.555272519043335","2024-08-26"
"VRTX","2024-06-03","470.17999267578125","7052.699890136719","472.15","7082.25","VRTX","15","0.41899003677452473","2024-09-09"
"VRTX","2024-06-10","483.2799987792969","483.2799987792969","472.15","472.15","VRTX","1","'-2.303012499464041","2024-09-09"
"FANG","2024-07-08","200.9278106689453","2411.1337280273438","198.305","2379.66","FANG","12","'-1.3053497473611286","2024-08-26"
"IFNNF","2024-09-09","32.349998474121094","4852.499771118164","31.5","4725","IFNNF","150","'-2.6275069991148925","2024-09-16"
"CMA","2024-07-22","51.11000061035156","1277.750015258789","57.11","1427.75","CMA","25","11.739384304435374","2024-09-02"
"CMA","2024-08-05","51.58000183105469","1702.1400604248047","57.11","1884.6299999999999","CMA","33","10.721205840702153","2024-09-02"
"EXC","2024-07-08","33.89284896850586","1016.7854690551758","38.09","1142.7","EXC","30","12.383588748748299","2024-09-02"
"SMAWF","2024-09-09","184.5500030517578","14764.000244140625","179","14320","SMAWF","80","'-3.0073166946528285","2024-09-16"
"COO","2024-06-24","89.80999755859375","1347.1499633789062","94.5","1417.5","COO","15","5.222138480013205","2024-08-26"
"GRMN","2024-06-03","162.4327392578125","4872.982177734375","180.38","5411.4","GRMN","30","11.049041482765176","2024-08-26"
"GRMN","2024-06-17","160.3000030517578","3206.0000610351562","180.38","3607.6","GRMN","20","12.526510646265375","2024-08-26"
"GRMN","2024-06-24","162.2899932861328","1622.8999328613281","180.38","1803.8","GRMN","10","11.146717272933016","2024-08-26"
"GRMN","2024-07-01","161.10000610351562","644.4000244140625","180.38","721.52","GRMN","4","11.967717669790723","2024-08-26"
"LULU","2024-09-09","248.58999633789062","24858.999633789062","267.015","26701.5","LULU","100","7.411804148814416","2024-09-16"
"SYK","2024-08-19","341.05999755859375","1705.2999877929688","354.79","1773.95","SYK","5","4.025685374916321","2024-08-26"
"CRM","2024-06-17","230.1217803955078","3451.826705932617","252.9","3793.5","CRM","15","9.898332772040753","2024-09-02"
"APTV","2024-06-03","84.6500015258789","3386.0000610351562","72.75","2910","APTV","40","'-14.057886959684085","2024-08-26"
"APTV","2024-06-17","70.94999694824219","1773.7499237060547","72.75","1818.75","APTV","25","2.5370022962381666","2024-08-26"
"IDXX","2024-06-10","508.260009765625","1524.780029296875","481.33","1443.99","IDXX","3","'-5.298471106952385","2024-09-02"
"IDXX","2024-07-08","483.7300109863281","4837.300109863281","481.33","4813.3","IDXX","10","'-0.4961468033447991","2024-09-02"
"DUK","2024-08-05","109.98440551757812","3629.485382080078","118.06","3895.98","DUK","33","7.342490459823603","2024-09-16"
"DUK","2024-08-19","112.72000122070312","2254.4000244140625","118.06","2361.2","DUK","20","4.737401278803466","2024-09-16"
"XOM","2024-06-17","107.49457550048828","1074.9457550048828","117.92","1179.2","XOM","10","9.69855869561005","2024-08-26"
"XOM","2024-07-08","111.28407287597656","890.2725830078125","117.92","943.36","XOM","8","5.963051991652946","2024-08-26"
"XOM","2024-08-12","118.04959869384766","236.0991973876953","117.92","235.84","XOM","2","'-0.10978325659857235","2024-08-26"
"MTCH","2024-07-08","30.200000762939453","604.0000152587891","37.805","756.1","MTCH","20","25.18211604283527","2024-08-26"
"MTCH","2024-08-05","35.65999984741211","534.8999977111816","37.805","567.075","MTCH","15","6.015143471021522","2024-08-26"
"ROST","2024-07-01","145.24000549316406","2178.600082397461","150.61","2259.15","ROST","15","3.6973246376589275","2024-09-02"
"ROST","2024-07-22","144.9199981689453","2898.3999633789062","150.61","3012.2000000000003","ROST","20","3.9263054809187903","2024-09-02"
"AVB","2024-07-08","203.1199951171875","1015.5999755859375","225.73","1128.6499999999999","AVB","5","11.13135359705375","2024-09-02"
